title,ux_type,description,pic_url,label,title_url
Customer.io,"design, dev",entire app,http://dl.dropbox.com/u/9927844/Jing/cio_ux_thumbnail.png,customerio,http://customer.io
Venmo,design,sign-up flow,http://dl.dropbox.com/u/9927844/Jing/2012-03-26_0015.png,venmo-signup,https://venmo.com
Venmo,concepts,features,http://dl.dropbox.com/u/9927844/Jing/2012-03-26_0016.png,venmo-newfeatures,https://venmo.com
Cofi,"design, dev",app,http://dl.dropbox.com/u/9927844/Jing/2012-03-26_0019.png,cofi,http://getcofi.com
MoveTogether,design,app flow,http://dl.dropbox.com/u/9927844/Jing/2012-03-26_0017.png,movetogether,http://dthink.ashaelizabethgupta.com/post/16748438250/movetogether-lessons-learned
General Assembly,UX commentary,product & features,http://dl.dropbox.com/u/1654579/Jing/2012-03-25_2046.png,generalassembly,http://generalassemb.ly/
Get Ahead,design,splashpage & vision,http://dl.dropbox.com/u/9927844/Jing/2012-06-18_2015.png,getahead,
